Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards,-9999
104,Christian Watson,23,GNB,WR,14,11,4.71,2.93,43.6,2.00,23.9,8.2,19.7,6.7,13.8,0.21,13.7,0.29,6.1,0.07,121.5,AP ORoY-7,WatsCh00
105,Darnell Mooney,25,CHI,WR,12,12,5.08,3.33,41.1,1.67,27.4,8.2,13.7,4.1,12.0,0.17,20.0,0.17,3.3,0.17,87.7,,MoonDa00
106,Olamide Zaccheaus,25,ATL,WR,17,13,3.59,2.35,31.4,1.47,20.2,8.6,11.1,4.7,11.5,0.18,13.3,0.00,0.0,0.00,109.5,,ZaccOl01
107,Dalvin Cook,27,MIN,RB,17,17,3.29,2.29,17.4,0.94,-2.12,-0.9,19.5,8.5,-0.5,0.24,9.8,0.29,8.9,0.00,94.0,PB,CookDa01
108,Michael Gallup,26,DAL,WR,14,11,5.29,2.79,30.3,1.79,22.6,8.1,7.64,2.7,11.1,0.00,,0.43,8.1,0.29,65.4,,GallMi00
109,Tony Pollard,25,DAL,RB,16,4,3.44,2.44,23.2,1.13,1.50,0.6,21.7,8.9,1.4,0.13,19.5,0.19,5.5,0.00,107.5,PB,PollTo00
110,Ben Skowronek,25,LAR,WR,14,11,4.36,2.79,26.9,1.14,17.1,6.1,9.79,3.5,7.9,0.00,,0.14,3.3,0.14,67.4,,SkowBe00
111,Logan Thomas,31,WAS,TE,14,13,4.36,2.79,23.1,1.07,14.1,5.1,9.00,3.2,7.0,0.00,,0.07,1.6,0.14,69.2,,ThomLo00
112,Samaje Perine,27,CIN,RB,16,2,3.19,2.38,17.9,0.69,-2.13,-0.9,20.1,8.4,0.2,0.31,7.6,0.31,9.8,0.00,113.8,,PeriSa00
113,Josh Reynolds,27,DET,WR,14,11,4.21,2.71,34.2,1.79,26.0,9.6,8.21,3.0,11.9,0.00,,0.29,6.8,0.07,99.5,,ReynJo00
114,Devin Singletary,25,BUF,RB,16,16,3.25,2.38,17.5,0.94,1.44,0.6,16.1,6.8,0.2,0.13,19.0,0.38,11.5,0.00,91.8,,SingDe00
115,Jordan Akins,30,HOU,TE,15,3,3.60,2.47,33.0,1.53,15.0,6.1,18.0,7.3,6.1,0.07,37.0,0.20,5.6,0.07,120.5,,AkinJo00
116,Rex Burkhead,32,HOU,RB,16,0,3.19,2.31,12.8,0.50,0.00,0.0,12.8,5.5,1.3,0.06,37.0,0.06,2.0,0.06,77.6,,BurkRe00
117,Nico Collins,23,HOU,WR,10,7,6.60,3.70,48.1,2.10,31.8,8.6,16.3,4.4,11.3,0.30,12.3,0.10,1.5,0.10,83.0,,CollNi00
118,Devin Duvernay,25,BAL,WR,14,13,3.50,2.64,29.1,1.36,17.9,6.8,11.1,4.2,9.0,0.00,,0.07,2.0,0.07,111.5,PB,DuveDe00
119,Elijah Moore,22,NYJ,WR,16,9,4.06,2.31,27.9,1.38,20.7,8.9,7.19,3.1,11.7,0.13,18.5,0.13,3.1,0.06,76.8,,MoorEl00
120,Isaiah Hodgins,24,2TM,WR,10,5,4.80,3.70,39.2,2.40,30.4,8.2,8.80,2.4,9.1,0.20,18.5,0.00,0.0,0.10,119.4,,HodgIs00
120,Isaiah Hodgins,24,BUF,WR,2,0,3.00,2.00,20.5,1.00,11.0,5.5,9.50,4.8,7.3,0.00,,0.00,0.0,0.00,86.1,,HodgIs00
120,Isaiah Hodgins,24,NYG,WR,8,5,5.25,4.13,43.9,2.75,35.3,8.5,8.63,2.1,9.3,0.25,16.5,0.00,0.0,0.13,123.3,,HodgIs00
121,Isaiah Likely,22,BAL,TE,16,2,3.75,2.25,23.3,1.13,13.9,6.2,9.44,4.2,6.8,0.31,7.2,0.38,10.0,0.06,87.7,,LikeIs00
122,Hunter Renfrow,27,LVR,WR,10,1,5.00,3.60,33.0,1.80,18.1,5.0,14.9,4.1,6.8,0.20,18.0,0.10,2.0,0.40,69.6,,RenfHu00
123,Kendrick Bourne,27,NWE,WR,16,2,3.00,2.19,27.1,1.38,18.1,8.3,9.06,4.1,10.3,0.13,17.5,0.25,8.3,0.13,90.1,,BourKe00
124,Jahan Dotson,22,WAS,WR,12,10,5.08,2.92,43.6,2.17,32.2,11.0,11.4,3.9,13.5,0.08,35.0,0.50,9.8,0.33,96.6,,DotsJa00
125,Travis Etienne,23,JAX,RB,17,12,2.65,2.06,18.6,0.94,-2.12,-1.0,20.7,10.1,0.3,0.00,,0.18,6.7,0.00,95.9,,EtieTr00
126,Kareem Hunt,27,CLE,RB,17,0,2.59,2.06,12.4,0.65,-1.94,-0.9,14.3,6.9,-0.5,0.41,5.0,0.24,9.1,0.00,94.1,,HuntKa00
127,Jauan Jennings,25,SFO,WR,16,4,3.50,2.19,26.0,1.44,15.0,6.9,11.0,5.0,8.4,0.19,11.7,0.44,12.5,0.19,68.7,,JennJa00
128,Randall Cobb,32,GNB,WR,13,3,3.85,2.62,32.1,1.46,17.8,6.8,14.2,5.4,9.5,0.08,34.0,0.15,4.0,0.08,91.8,,CobbRa00
129,Will Dissly,26,SEA,TE,15,15,2.53,2.27,23.3,1.33,11.0,4.9,12.3,5.4,5.4,0.13,17.0,0.13,5.3,0.00,131.2,,DissWi00
130,David Montgomery,25,CHI,RB,16,16,2.50,2.13,19.8,0.63,2.06,1.0,17.7,8.3,1.3,0.38,5.7,0.06,2.5,0.06,97.5,,MontDa01
131,Treylon Burks,22,TEN,WR,11,6,4.91,3.00,40.4,1.73,25.7,8.6,14.6,4.9,11.6,0.18,16.5,0.27,5.6,0.27,70.3,,BurkTr00
132,Greg Dulcich,22,DEN,TE,10,6,5.50,3.30,41.1,1.80,25.6,7.8,15.5,4.7,11.5,0.10,33.0,0.20,3.6,0.30,72.6,,DulcGr00
133,Derrick Henry,28,TEN,RB,16,16,2.56,2.06,24.9,0.69,0.75,0.4,24.1,11.7,0.1,0.13,16.5,0.31,12.2,0.00,107.1,PBAP MVP-9AP OPoY-12AP CPoY-9,HenrDe00
134,Foster Moreau,25,LVR,TE,15,14,3.60,2.20,28.0,1.60,12.2,5.5,15.8,7.2,8.1,0.13,16.5,0.40,11.1,0.13,82.3,,MoreFo00
135,Allen Robinson,29,LAR,WR,10,10,5.20,3.30,33.9,2.30,26.8,8.1,7.10,2.2,9.7,0.00,,0.10,1.9,0.10,93.3,,RobiAl02
136,Quez Watkins,24,PHI,WR,17,8,3.00,1.94,20.8,0.76,12.2,6.3,8.59,4.4,9.0,0.06,33.0,0.18,5.9,0.18,80.0,,WatkQu00
137,Corey Davis,27,NYJ,WR,13,10,4.92,2.46,41.2,2.15,32.8,13.3,8.38,3.4,13.4,0.08,32.0,0.15,3.1,0.15,76.0,,DaviCo03
