Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards,-9999
179,Van Jefferson,26,LAR,WR,11,9,4.0,2.18,33.5,1.82,30.1,13.8,3.45,1.6,15.8,0.0,,0.09,2.3,0.27,76.8,,JeffVa00
180,Julio Jones,33,TAM,WR,10,5,4.3,2.4,29.9,1.3,17.5,7.3,12.4,5.2,13.8,0.2,12.0,0.1,2.3,0.0,93.1,,JoneJu02
181,Brandon Powell,27,LAR,WR,17,6,1.88,1.41,9.18,0.41,-1.65,-1.2,10.8,7.7,1.5,0.0,,0.18,9.4,0.0,84.9,,PoweBr00
182,Jamal Agnew,27,JAX,WR,15,0,2.0,1.53,12.5,0.6,4.4,2.9,8.07,5.3,6.1,0.0,,0.13,6.7,0.0,125.3,PB,AgneJa00
184,Scott Miller,25,TAM,WR,15,1,2.67,1.53,12.3,0.53,10.1,6.6,2.2,1.4,12.8,0.0,,0.2,7.5,0.0,69.3,,MillSc01
185,Wan'Dale Robinson,21,NYG,WR,6,3,5.17,3.83,37.8,2.17,16.8,4.4,21.0,5.5,6.2,0.17,23.0,0.17,3.2,0.0,105.2,,RobiWa01
186,Skyy Moore,22,KAN,WR,16,3,2.06,1.38,15.6,0.81,6.38,4.6,9.25,6.7,7.9,0.13,11.0,0.06,3.0,0.19,51.3,,MoorSk01
187,Shi Smith,24,CAR,WR,17,6,2.41,1.29,17.4,0.82,9.65,7.5,7.76,6.0,7.5,0.06,22.0,0.18,7.3,0.18,62.7,,SmitSh03
188,Tyquan Thornton,22,NWE,WR,13,9,3.46,1.69,19.0,1.0,13.8,8.1,5.23,3.1,14.2,0.0,,0.38,11.1,0.15,62.0,,ThorTy00
193,Equanimeous St. Brown,26,CHI,WR,16,16,2.38,1.31,20.2,0.88,14.6,11.1,5.56,4.2,13.0,0.0,,0.06,2.6,0.19,59.4,,St.BEq00
198,Phillip Dorsett,29,HOU,WR,15,4,2.67,1.33,17.1,0.73,13.0,9.8,4.13,3.1,11.1,0.0,,0.2,7.5,0.13,58.0,,DorsPh00
202,Robbie Chosen,29,2TM,WR,16,7,2.75,1.25,17.6,0.63,11.6,9.3,6.0,4.8,14.1,0.0,,0.13,4.5,0.06,64.8,,AndeRo04
